39507,Creative Commons - Attribution,
790253,Creative Commons - Attribution - Non-Commercial,
931902,Creative Commons - Attribution - Non-Commercial,
439142,Creative Commons - Attribution - Non-Commercial,
55280,Creative Commons - Attribution,
59197,Creative Commons - Attribution - Share Alike,
61384,Creative Commons - Attribution - Share Alike,
64445,Creative Commons - Attribution - Share Alike,
82675,Creative Commons - Attribution - Share Alike,
65942,Creative Commons - Attribution - Non-Commercial,
